汇景和园 正规三房 业主诚心出售,汇景和园 -洪家园,3室2厅 | 87.43平米 | 南 北 | 简装 | 低楼层(共18层)  | 塔楼,162,"18,530元/平"
新街口商圈 张府园地铁口 房龄新 电梯直达人行房改,张府园 -新街口,3室2厅 | 112.37平米 | 南 西 | 其他 | 中楼层(共26层)  | 塔楼,388,"34,529元/平"
南部新城 洪家园 市中医院 东边户 双卫 三房朝南,风光里一期 -洪家园,3室2厅 | 125.49平米 | 东 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,260,"20,719元/平"
电梯房 电梯房 双卧朝南 小区环境优越 看房方便,秦淮教师公寓 -洪家园,2室1厅 | 77.87平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,225,"28,895元/平"
满五 电梯好楼层 视野开阔 月牙湖 方整户型 配套完善,大地豪庭 -月牙湖,3室2厅 | 140.83平米 | 南 北 | 简装 | 中楼层(共15层)  | 板塔结合,445,"31,599元/平"
新上！四方新村二村三房 全屋实木 中间楼层 看房方便,四方新村二村 -月牙湖,3室1厅 | 77.01平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,189,"24,543元/平"
此房满五， 全明格局，楼层好，视野宽阔，采光充足,西一巷 -升州路,2室1厅 | 55.75平米 | 东 东南 | 毛坯 | 中楼层(共7层)  | 板楼,230,"41,256元/平"
朝天宫 省中医 正规三房两厅 2.5W单价非顶楼 看房方便,侯家桥 -朝天宫,3室2厅 | 93.4平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,238,"25,482元/平"
新街口 金鹰 朗诗熙园 高档小区 三开间朝南 高层 急售,王府国际花园 -新街口,3室2厅 | 143.43平米 | 南 北 | 其他 | 中楼层(共15层)  | 板塔结合,699,"48,735元/平"
双南  采光好 南北通透 有钥匙 省中医院 地铁口,堂子街 -朝天宫,2室1厅 | 57.77平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,165,"28,562元/平"
