楼层好 采光充足 视野开阔 诚心出售 开发商精装修,高科荣境二期 -仙林,3室2厅 | 117.89平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,508,"43,092元/平"
新精装修三房 楼层好视野好 业主好说话 诚心卖,中南世纪雅苑二期 -马群,3室1厅 | 85.92平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,178,"20,717元/平"
中海燕矶听潮  一期边户 楼层视野好 新空三房,中海燕矶听潮C区 -燕子矶,3室2厅 | 106.96平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,362,"33,845元/平"
前排位置好 采光无遮挡 无个税 拎包入住,金地明悦 -尧化门,4室2厅 | 116.85平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,248,"21,224元/平"
地铁口 全明双南 可换户型成3间,和燕花苑 -迈皋桥,3室1厅 | 88.9平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,142,"15,974元/平"
花港玫瑰园 自住精装三房 诚心出售,花港幸福城玫瑰园 -马群,3室2厅 | 87.56平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,115,"13,134元/平"
仙林湖 新城香悦澜山 高楼层 居家装修 随时看房,新城香悦澜山 -仙林,3室2厅 | 88.99平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,250,"28,094元/平"
花港幸福城海棠园 3室2厅 南,花港幸福城海棠园 -马群,3室2厅 | 88.2平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,126,"14,286元/平"
业主诚心出售，价格好谈，看房都方便,燕江新城山水苑 -万寿,2室1厅 | 69.94平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,108,"15,442元/平"
燕子矶 晓庄 大地 和燕路过江隧道 双地铁口 满五年,大地伊丽雅特湾 -晓庄,2室2厅 | 90.65平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,245,"27,028元/平"
让您怦然心动的好房！燕升园双南两房采光视野好！,燕升园3园 -迈皋桥,2室1厅 | 65.16平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,110,"16,882元/平"
急售 燕熙台 凤凰层 房龄新 阳光视野好 新空江景三房,燕熙台 -万寿,3室2厅 | 93.41平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,300,"32,117元/平"
满五唯一户型好 利用率高诚心卖 配套设施齐全交通便利,新城香悦澜山 -仙林,3室2厅 | 82.5平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,228,"27,637元/平"
三房两卫 三开间朝南 视野采光好 紫金山尽收眼底,电建海赋尚城 -万寿,3室1厅 | 99.01平米 | 南 北 | 简装 | 高楼层(共33层)  | 暂无数据,288,"29,088元/平"
100平大三房 精装修拎包入住 视野开阔,学仕风华苑 -仙林,3室2厅 | 98.73平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,199,"20,156元/平"
房型方正 飞机户 洋房 视野好 业主诚心卖 有钥匙,融信世纪东方 -仙林,3室2厅 | 123.22平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,460,"37,332元/平"
南大和园一楼带大院子婚装三室两卫 拎包入住采光好,南大和园 -仙林,3室2厅 | 118平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,455,"38,560元/平"
精装三房 采光明亮 交通便利 拎包入住,金地湖城艺境 -仙林,3室2厅 | 86.71平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,242,"27,910元/平"
融信世纪东方 精装 三室双卫中上楼层景观房 满二 诚售,融信世纪东方 -仙林,3室2厅 | 99.56平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,330,"33,146元/平"
青秀城 精装 三房小区环境优美 采光好 配套商圈成熟,中国铁建青秀城 -万寿,3室1厅 | 88.11平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,265,"30,077元/平"
次新房 开发商精装 全屋定制 楼层好 飞机户型 双卫,融信世纪东方 -仙林,3室2厅 | 118.43平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,395,"33,354元/平"
万达茂商圈  业主诚心出售 户型方正 总价低 看房方便,万达茂御湖仕家一二期 -仙林,3室2厅 | 94.75平米 | 南 北 | 简装 | 低楼层(共34层)  | 板楼,196,"20,687元/平"
东边户 好楼层 精装修 采光视野好,保利罗兰春天 -仙林,3室1厅 | 93.26平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,265,"28,416元/平"
中高楼层边户明卫，前方园林绿化无楼栋遮挡、随时看房,融信世纪东方 -仙林,3室2厅 | 99.15平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,336,"33,889元/平"
