满五 视野好 采光好  配套齐全 交通便利 业主诚心售,万达茂御湖仕家一二期 -仙林,3室2厅 | 119.69平米 | 南 | 简装 | 高楼层(共19层)  | 板楼,310,"25,901元/平"
七层洋房的二楼，采光好，精装修，交通方便，配套齐全,金地湖城艺境 -仙林,4室2厅 | 134.64平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,448,"33,274元/平"
精装 拎包住 次新房 一楼带院子三开间朝南 全明户型,嘉誉山 -迈皋桥,2室2厅 | 86.05平米 | 南 | 其他 | 低楼层(共11层)  | 塔楼,265,"30,797元/平"
晓庄地铁口 御龙湾三房满二 通透 采光充足业主诚售,金浦御龙湾 -迈皋桥,3室2厅 | 87.26平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,246,"28,192元/平"
马群 次新房 业主急卖 位置好 可看紫金山,中垠紫金观邸 -马群,3室2厅 | 85.01平米 | 南 北 | 其他 | 高楼层(共14层)  | 板楼,248,"29,174元/平"
省却个税    有拓展空间   南湾营电梯户型方正大三房,南湾营融康苑 -马群,3室1厅 | 104.75平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,176,"16,802元/平"
园林景观 小区正中间位置 人车分流 物业好 环境好,林景瑞园 -晓庄,3室1厅 | 120.31平米 | 南 西南 | 其他 | 低楼层(共9层)  | 板塔结合,260,"21,611元/平"
仙林大学城 板楼户型南北通透 舒适居家三房 诚心出售,学仕风华苑 -仙林,3室2厅 | 98.89平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,217,"21,944元/平"
弘阳燕江府1号地铁口 品牌精装四室 南师门口 随时看房,弘阳燕江府 -燕子矶,4室2厅 | 109.2平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,330,"30,220元/平"
仙林湖精装四房，高楼层，采光视野好，无户无贷交易快,新城香悦澜山 -仙林,3室2厅 | 100.2平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,295,"29,442元/平"
紫金山下，交通便利，双地铁口，业主诚心出售,钟山晶典苑 -马群,3室2厅 | 120.18平米 | 南 | 精装 | 高楼层(共14层)  | 板塔结合,269,"22,384元/平"
万谷慧广场，省中西医结合医院，迈皋桥地铁口，满五年,中电颐和家园一期 -红山,3室2厅 | 118.76平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,378,"31,829元/平"
中电边户三房 采光视野好 电梯小高层 满五唯一,中电颐和家园一期 -红山,3室2厅 | 101.67平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,349,"34,327元/平"
燕子矶，保利国际，正规三房，一号线北延,保利国际社区 -燕子矶,3室2厅 | 115平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,330,"28,696元/平"
小区中间位置 不沿街  采光不挡 业主诚心卖价格可谈,融信世纪东方 -仙林,3室2厅 | 99.59平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,310,"31,128元/平"
户型方正 中间楼层 小区中间位置,花港幸福城金桂园 -马群,3室2厅 | 87.84平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,125,"14,231元/平"
低总价、小四房、房型好、采光好，无房贷、无户口,万达茂御湖仕家一二期 -仙林,4室1厅 | 106.06平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,280,"26,401元/平"
一楼带院配套设施齐全 交通便利 价格低 业主诚心出售,迈苑小区 -迈皋桥,2室1厅 | 51.37平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,115,"22,387元/平"
精装修 科技系统 空调带地暖 平层看房提前联系,新城璞樾钟山 -马群,3室2厅 | 137.61平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,539,"39,169元/平"
满五唯一 前后双阳台 低楼层 双南采光无遮无挡,东井村41号 -迈皋桥,2室2厅 | 74.62平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,166,"22,247元/平"
金中金小 熊猫汇智家园 精选两房 楼层好位置佳 有车位,熊猫汇智家园 -仙林,2室2厅 | 91.77平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,180,"19,615元/平"
满五唯一房源诚心急售，40米+中层楼间距无采光遮挡,万科金色领域 -仙林,3室2厅 | 116.57平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,299,"25,650元/平"
仙林湖 花园洋房 金中 带地暖  边户 看房方便,金地湖城艺境 -仙林,3室2厅 | 112.88平米 | 东南 西 北 | 精装 | 中楼层(共7层)  | 板楼,415,"36,765元/平"
万达茂三期 视野好97平大三房 位置好交通方便,万达茂御湖仕家三期 -仙林,3室2厅 | 97.34平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,233,"23,937元/平"
高楼层 非顶层 双阳台 南师 诚售 随时看房 满五唯一,弘阳燕江府 -燕子矶,3室2厅 | 93.04平米 | 南 北 | 简装 | 高楼层(共32层)  | 板楼,265,"28,483元/平"
紫金山下次新房，全新婚装未入住，中间楼层，配套齐全,中南世纪雅苑二期 -马群,3室2厅 | 85.93平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,187,"21,762元/平"
仙林湖金地 满二年 中楼层 视野好 诚心出售,金地湖城艺境 -仙林,3室2厅 | 97.23平米 | 南 | 简装 | 中楼层(共27层)  | 板楼,250,"25,713元/平"
迈皋桥方圆绿茵 精装修 带电梯 看房随时 诚心出售,方圆绿茵 -迈皋桥,3室2厅 | 139.08平米 | 南 | 精装 | 高楼层(共9层)  | 塔楼,305,"21,930元/平"
业主急售晓庄地铁 双南一北3房 电梯房 视野开阔,金浦御龙湾 -迈皋桥,3室2厅 | 88.71平米 | 南 | 简装 | 中楼层(共20层)  | 板塔结合,260,"29,309元/平"
中电睿域 三房西边户 好楼层 采光好 配套成熟,中电颐和家园睿域 -红山,3室2厅 | 114.21平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,349,"30,558元/平"
结婚装修 好楼层 视野采光没问题 业主诚心卖,金浦御龙湾 -迈皋桥,3室2厅 | 88.71平米 | 南 北 | 精装 | 高楼层(共20层)  | 板塔结合,270,"30,437元/平"
精装修 拎包住 有花池 采光好 满二,金地湖城艺境 -仙林,3室2厅 | 96.98平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,268,"27,635元/平"
1号线地铁口 两室 采光好 位置好,方圆绿茵 -迈皋桥,2室1厅 | 79.64平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,190,"23,858元/平"
中铁青秀城大三房，两卫，自如装修，采光视野好。,中国铁建青秀城 -万寿,3室2厅 | 122.72平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,330,"26,891元/平"
百水芊城 春水坊 婚装两房 中层 看房有钥匙，诚心出售,百水芊城春水坊 -马群,2室1厅 | 62.23平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,105,"16,873元/平"
低总价，视野开阔，电梯房，业主诚心出售，配套成熟,凤来南园 -万寿,2室1厅 | 66.43平米 | 南 北 | 简装 | 低楼层(共29层)  | 塔楼,102,"15,355元/平"
通透三房还有书房 高楼层带车位 好谈,新城香悦澜山 -仙林,3室2厅 | 98.92平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,288,"29,115元/平"
世纪雅苑 绿城服务 人车分流 户型方正 看房随时,中南世纪雅苑 -马群,3室2厅 | 86.34平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,162,"18,764元/平"
好房急售尧化门尧林仙居精装两房,尧林仙居 -尧化门,2室1厅 | 65.49平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,118,"18,019元/平"
低总价  小两房   设配套设施齐全 交通便利,茉莉园 -马群,2室1厅 | 68.16平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,86,"12,618元/平"
丁家庄 凤来南园 精装 两室一厅 出售,凤来南园 -万寿,2室1厅 | 66.36平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,110,"16,577元/平"
户型好，配套设施齐全，交通便利。,仙龙湾山庄 -仙林,2室1厅 | 89.91平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,318,"35,369元/平"
花港两房楼层好，户型方正，采光无遮挡，期待有缘人。,花港幸福城芙蓉园 -马群,2室1厅 | 68.1平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,95,"13,951元/平"
满两年 双卧朝南 业主诚心出售 采光很好,花港幸福城杜鹃园 -马群,2室1厅 | 68.97平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,93,"13,485元/平"
紫金脚下 次新房小区 有电梯 满两年 业主诚心出售,中垠紫金观邸 -马群,3室1厅 | 87.08平米 | 南 | 简装 | 低楼层(共15层)  | 板楼,232,"26,643元/平"
南湾营融康苑 电梯房 居家装修 不临火车道 交通便利,南湾营融康苑 -马群,2室1厅 | 65.33平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,95,"14,542元/平"
刚需三房，位置好，交通便利，近马群，配套齐全,百水家园 -马群,3室1厅 | 84.08平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,128,"15,224元/平"
天悦花园 精装两房 不临街 中楼层 采光无遮挡,天悦花园 -马群,2室2厅 | 80.98平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,178,"21,981元/平"
户型方正，采光好，通风好，配套设施齐全，交通便利,南湾营融康苑 -马群,2室1厅 | 65.33平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,108,"16,532元/平"
低总价 精装修小两房 迈皋桥地铁口,高家村42号 -迈皋桥,2室1厅 | 55.05平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,115,"20,891元/平"
中电四期 采光好无遮挡 精装修拎包即住 户型方正,中电颐和家园睿域 -红山,2室2厅 | 95.95平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,306,"31,892元/平"
ç此房 格局好 采光良好 配套成熟 交通便利,华电新村 -迈皋桥,2室1厅 | 43.5平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,76,"17,472元/平"
房东诚售，小区环境好 密度低，精装修东边户全明,北城嘉园 -万寿,2室2厅 | 85.61平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,208,"24,297元/平"
南北通透 香樟园优质户型 大阳台 急售 价格可谈,赛世香樟园 -仙林,2室1厅 | 87.42平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,275.8,"31,549元/平"
背靠紫金山，面向运粮河，明厨明卫美如画。,茉莉园 -马群,2室1厅 | 68.39平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,128,"18,717元/平"
茉莉园单元边户 户型好 总价低 有钥匙随时看房,茉莉园 -马群,2室2厅 | 67.89平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,75,"11,048元/平"
中铁青秀城 全明边户 精装修 拎包入住 改善三居,中国铁建青秀城 -万寿,3室2厅 | 107.77平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,330,"30,621元/平"
满五唯一无个税 居家装修 诚心出售 生活方便,保利罗兰春天 -仙林,3室2厅 | 93.26平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,260,"27,880元/平"
摄山星城 精装大三房 证全满五 看房方便 诚心出售,摄山星城尤山苑 -栖霞其它,3室2厅 | 104.68平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,115,"10,986元/平"
2号线马群地铁口 精装修自住 满两年 采光好,中垠紫金观邸 -马群,3室2厅 | 88.91平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,240,"26,994元/平"
满二，诚心卖房，湖景房，有车位,万达茂御湖仕家三期 -仙林,4室2厅 | 139.04平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,430,"30,927元/平"
金地 仙林湖旁 小区中间 满五唯一  急售,金地湖城艺境 -仙林,3室2厅 | 95.95平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,250,"26,056元/平"
玲珑翠谷 洋房 中间楼层 全屋地暖 看房提前联系,玲珑翠谷 -仙林,3室2厅 | 87.62平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,238,"27,163元/平"
开发商精装修，业主诚心，小区好位置，中间楼层,新城香悦澜山 -仙林,4室2厅 | 99.19平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,270,"27,221元/平"
次新小区  精装交付  采光优  业主诚售 看房方便,中南世纪雅苑二期 -马群,3室2厅 | 86.36平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,185,"21,422元/平"
免增值税 精装修大三房 生活配套齐全 交通便捷,中国铁建青秀城 -万寿,3室2厅 | 109.07平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,310,"28,423元/平"
仙林湖经典小三房，居家好房子。,新城香悦澜山 -仙林,3室2厅 | 89.68平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,230,"25,647元/平"
迈皋桥商圈 三房 东井村39号 底总价 房东诚心出售,东井村39号 -迈皋桥,3室1厅 | 66.84平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,110,"16,458元/平"
楼层适中 采光视野无遮挡 温馨装修 业主自住 诚心出售,中南世纪雅苑 -马群,3室2厅 | 86.37平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,179,"20,725元/平"
客厅连着阳台 南北朝向 精装修 设施齐全 中等楼层,燕歌园2园 -迈皋桥,2室1厅 | 67.83平米 | 南 | 其他 | 中楼层(共24层)  | 板楼,118,"17,397元/平"
金地湖城艺境 3室1厅 南,金地湖城艺境 -仙林,3室1厅 | 86.71平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,242,"27,910元/平"
客厅带阳台   进小区门口 采光刺眼  房东诚售,花港幸福城牡丹园 -马群,2室1厅 | 73.1平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,95,"12,996元/平"
仙林大学城 满二 南北通透大两房 精装修 楼层好,鸿运嘉园 -仙林,2室2厅 | 90.68平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,252,"27,791元/平"
中间楼层，满五年，电梯房！！！！,南湾营宁康苑 -马群,2室1厅 | 64.79平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,98,"15,126元/平"
仙林新村精装单室套小区位置好出行方便 配套成熟,仙林新村北区 -仙林,1室1厅 | 39.4平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,125,"31,726元/平"
急售好房 阳光楼层 错过不在有 地铁口次新房,凤和东园 -万寿,3室2厅 | 87.58平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,153,"17,470元/平"
花港幸福城杜鹃园 电梯房 双卧朝南 中间楼层,花港幸福城杜鹃园 -马群,2室1厅 | 59.06平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,80,"13,546元/平"
百万内 马群地铁站 2楼 购房可选,百水芊城春水坊 -马群,2室1厅 | 62.23平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,99,"15,909元/平"
花港幸福城 58平米单室套 户型方正 能装成两房,茉莉园 -马群,1室1厅 | 58.4平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,75,"12,843元/平"
次顶楼满五年唯一，全南户型，采光好，楼间距大,亚东城西区 -仙林,2室2厅 | 97.06平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,255,"26,273元/平"
格局好 二次精装 中高层 拎包入住 采光赞,金地湖城艺境 -仙林,2室1厅 | 80.23平米 | 南 北 | 精装 | 高楼层(共25层)  | 板塔结合,206,"25,677元/平"
紫金山下 马群南轻轨旁花港幸福城精装修三房,茉莉园 -马群,3室1厅 | 87.79平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,117,"13,328元/平"
熊猫汇智家园 满五唯一 精装修 金中金小 含车位 诚售,熊猫汇智家园 -仙林,2室2厅 | 91.77平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,175,"19,070元/平"
2018年商品房 电梯刷卡入户 毛坯房 采光好,弘阳燕江府 -燕子矶,3室2厅 | 90.29平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,245,"27,135元/平"
小两室 7号线尧化新村站 尧化一村 满五唯一,尧化一村 -尧化门,2室1厅 | 46.63平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,65,"13,940元/平"
五福家园 地铁口 2房简装 换房诚售 楼层好 成熟配套,五福家园 -栖霞其它,2室1厅 | 64.95平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,73,"11,240元/平"
花港玉兰园两房，视野好，栖霞近马群,玉兰园 -马群,1室1厅 | 58.34平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,70,"11,999元/平"
海赋尚城 边户 简单装修 采光好,电建海赋尚城 -万寿,2室2厅 | 78.31平米 | 南 北 | 简装 | 低楼层(共30层)  | 板楼,199,"25,412元/平"
此房采光充足，总价低，小高层，视野开阔，交通便利,花港幸福城芙蓉园 -马群,2室1厅 | 68.1平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,85,"12,482元/平"
业主诚心出售 迈皋桥 楼层好 低密度,方园兰庭 -迈皋桥,2室2厅 | 89.34平米 | 南 北 | 简装 | 低楼层(共4层)  | 板楼,198,"22,163元/平"
业主诚心卖，价格便宜，户型方正,花港幸福城芙蓉园 -马群,2室1厅 | 68.04平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,90,"13,228元/平"
位置好 楼层好 南北通透格局 户型方正 有车位,亚东城东区 -仙林,2室1厅 | 93.34平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,298,"31,927元/平"
杜鹃园 通透两室 满五年 业主诚心急售,花港幸福城杜鹃园 -马群,2室2厅 | 58.06平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,78,"13,435元/平"
马群玫瑰园，户型方正，南北通透，诚心出售,花港幸福城玫瑰园 -马群,3室1厅 | 87.56平米 | 南 北 | 简装 | 低楼层(共27层)  | 板楼,120,"13,705元/平"
小两房户型方正采光好 得房率高 随时过户生活配套成熟,燕歌园4园 -迈皋桥,2室1厅 | 59.05平米 | 南 北 | 其他 | 低楼层(共32层)  | 板楼,88,"14,903元/平"
小区中间位置，装修好，采光充足，边户，看房方便,百水家园 -马群,3室1厅 | 85.19平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,119,"13,969元/平"
马群地铁口 上水坊 小户型单室套 诚意出售 看房随时,百水芊城上水坊 -马群,1室1厅 | 40.61平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,65,"16,006元/平"
双南西边户，精装修，楼层好，采光佳，交通便利。,和燕花苑 -迈皋桥,2室1厅 | 76.46平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,159,"20,796元/平"
金山花苑 双南两房 交通方便 万寿地铁站,金山花苑 -万寿,2室1厅 | 74.56平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,108,"14,485元/平"
金浦御龙湾  双地铁 精装修  视野开阔 业主急售一个月,金浦御龙湾 -迈皋桥,2室1厅 | 68.26平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,220,"32,230元/平"
