地铁口顶楼复式 南北通 透 诚心卖,天润城第四街区 -桥北,3室2厅 | 146.51平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,180,"12,286元/平"
小区中间位置 远离马路 视野 采光很好 精装修,华润国际社区 -顶山街道,3室2厅 | 89.42平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,265,"29,636元/平"
满五年，采光好，双卧朝南，户型好,弘阳旭日上城一区 -桥北,3室2厅 | 115.42平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,199,"17,242元/平"
盛景华庭南苑 交通便利 生活方便小三房 业主诚心出售,盛景华庭南苑 -江浦街道,3室1厅 | 85.68平米 | 南 北 | 简装 | 低楼层(共28层)  | 板塔结合,130,"15,173元/平"
满两年 户型方正 小区环境优美 配套齐全 交通便利,天润城第十六街区南区 -桥北,3室1厅 | 97.9平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,195,"19,919元/平"
江核品质小区，江北一中，长江隧道口，满两年,雅居乐滨江国际二期 -顶山街道,3室2厅 | 133.49平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,390,"29,216元/平"
盘龙山庄 顶楼带一层 全明户型 桃湖公园盘 近地铁,盘龙山庄 -浦口其它,3室2厅 | 110.09平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,149,"13,535元/平"
江核青奥板块，小区前排河景房，中间楼层，采光视野佳,中海左岸澜庭 -顶山街道,4室2厅 | 135.25平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,399,"29,501元/平"
满2年，4房2卫，南北通风，采光不挡！,雅居乐滨江国际三四期 -顶山街道,4室2厅 | 142.31平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,418,"29,373元/平"
纬三路隧道口 诚心卖房 看房方便 交通便利 采光好,乐府江南家园 -顶山街道,2室2厅 | 83.18平米 | 东南 | 其他 | 低楼层(共9层)  | 板楼,110,"13,225元/平"
中海开发商精装修三大件 高楼层东边户 等满二年过户,中海左岸澜庭 -顶山街道,3室2厅 | 112.44平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,310,"27,571元/平"
房子满两年，中间楼层，全天采光,招商依山溪谷花园东苑 -高新区,3室2厅 | 88.99平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,209,"23,486元/平"
大华桂美颂  上下两层带院子 全明 11号线 业主诚售,大华锦绣华城桂美颂 -桥北,4室2厅 | 99.19平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,200,"20,164元/平"
诚心出售，湖景房，花园小区，人车分流,弘阳旭日上城二区 -桥北,2室2厅 | 85.59平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,175,"20,447元/平"
大华阅江山 毛坯4房 环境好 总价低 检大漏 有钥匙,大华锦绣华城阅江山 -桥北,4室2厅 | 107.2平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,250,"23,321元/平"
满五年唯一 好楼层 采光无遮挡 视野开阔 有钥匙 急售,威尼斯水城第十三街区 -桥北,3室1厅 | 108.15平米 | 南 北 | 简装 | 中楼层(共28层)  | 板塔结合,179,"16,552元/平"
得房率92%三开间朝南业主诚心卖房,正荣润锦城 -顶山街道,3室1厅 | 86.3平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,265,"30,707元/平"
江北新区多层二楼小区中间两室两厅 满五年唯一 急售,天润城第七街区 -桥北,2室2厅 | 89.43平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,129,"14,425元/平"
江核青奥板块，保利西江月，不靠高架，楼层采光好,保利西江月 -顶山街道,4室2厅 | 129.39平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,299,"23,109元/平"
交通方便  30平阳光房 2阁楼  一户2门 多80平面积,威尼斯水城第六街区 -桥北,4室2厅 | 114.16平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,226,"19,797元/平"
高品质小区  精装小三房 中间楼层  采光无遮挡,招商依山溪谷花园东苑 -高新区,3室2厅 | 74.86平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,178,"23,778元/平"
精装修满五年 采光全天无遮挡 钥匙房随时看房,弘阳时光里一区 -高新区,3室2厅 | 74.72平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,220,"29,444元/平"
房主诚心出售 户型好 采光充足  刚需首先,亚东滨江和园 -江浦街道,3室1厅 | 107.83平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,162,"15,024元/平"
改善型大4房 中间楼层边户 新空毛坯 采光无遮挡,中交锦兰荟 -江浦街道,4室2厅 | 140.98平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,305,"21,635元/平"
江核润江城 90B户型 三开间朝南 江景房 视野开阔,正荣润江城 -顶山街道,3室2厅 | 87.69平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,298,"33,984元/平"
4号线二期 世茂荣里二期洋房 三房全明户型,世茂荣里二期 -顶山街道,3室2厅 | 87.14平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,210,"24,100元/平"
爱上花园稀有户型，业主诚心，价格可谈,弘阳爱上花园 -泰山街道,3室2厅 | 109.62平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,230,"20,982元/平"
砂之船 高楼层 精装修 采光视野好 即将满两年税费少,中海左岸澜庭 -顶山街道,3室2厅 | 112.13平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,315,"28,093元/平"
无个税四叶草户型 拎包入住看房方便 价格可谈！,金隅紫京叠院 -江浦街道,4室2厅 | 141.98平米 | 南 北 | 其他 | 中楼层(共10层)  | 板楼,370,"26,061元/平"
视野开阔   楼层好  采光好  交通便利,锦澜府 -泰山街道,3室2厅 | 90.81平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,163,"17,950元/平"
近研创园，楼层好采光无遮挡，业主诚心出售,亚东滨江和园 -江浦街道,3室2厅 | 107.83平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,152,"14,097元/平"
中间楼层 户型好 视野好 采光好 业主诚心出售,威尼斯水城第七街区 -桥北,3室2厅 | 129.1平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,198,"15,337元/平"
盘锦花园 低总价 户型方正 客厅双卧朝南,盘锦花园 -浦口其它,3室1厅 | 126.69平米 | 北 南 | 其他 | 高楼层(共6层)  | 板楼,120,"9,472元/平"
