南北三房 小区中间位置 采光好  诚心出售,金舟花园 -龙江,3室1厅 | 84.78平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,460,"54,259元/平"
不临街，南北两房，边户，房龄新小区已出新环境好,凤凰西街188号 -凤凰西街,2室1厅 | 50.33平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,165,"32,784元/平"
低楼层，采光不挡  地铁口  ，有钥匙,莫愁新寓荷花里 -汉中门大街,2室1厅 | 58.72平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,185,"31,506元/平"
中间楼层采光好 房龄新 南邮里面,广东路 -三牌楼,4室1厅 | 96.57平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,329,"34,069元/平"
丁家桥 户型方正 小区环境好 配套齐全,丁家桥1-37号 -湖南路,3室1厅 | 72.92平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,260,"35,656元/平"
低单价低总价小两房，低楼层，诚心出售,金陵新一村 -金陵小区,2室1厅 | 43.61平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,79,"18,116元/平"
珠江路地铁口  中间三楼  全明方正户型,青岛路小区 -宁海路,4室2厅 | 92.22平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,330,"35,784元/平"
随园 紧靠南大旁 双南户型 精装修拎包入住阳光好,随园 -宁海路,2室1厅 | 64.4平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,210,"32,609元/平"
小区中间位置，不临街，低楼层，业主诚售,腾飞园 -龙江,2室1厅 | 55.9平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,199,"35,600元/平"
准新房不限售，不临铁路，全新装修，无增值税，，,电建中储泛悦城市广场 -小市,3室2厅 | 106.1平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,368,"34,685元/平"
诚售 树人 新河一村 双南一北 客厅带窗 看房方便,新河一村 -定淮门大街,3室1厅 | 74.16平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,398,"53,668元/平"
紧靠秦淮河边 裕顺雅苑 大3房 南北通透 交通便利,裕顺雅苑 -龙江,3室2厅 | 124.62平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,435,"34,907元/平"
业主诚售  2010年跃层好房 带电梯 书包资源 水佐岗,中商万豪 -水佐岗,3室1厅 | 116.61平米 | 北 东南 | 精装 | 中楼层(共57层)  | 板楼,210,"18,009元/平"
世茂外滩9号楼 东边户 全新装修一天未住过 江景房满2,世茂外滩新城 -热河南路,4室2厅 | 167.51平米 | 东 南 北 | 其他 | 高楼层(共55层)  | 板塔结合,748,"44,655元/平"
西边户 采光好  银城汇文 看房方便 诚心出售,银城花园南片 -龙江,3室1厅 | 74.86平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,415,"55,437元/平"
鼓楼滨江 婚装 采光视野好 江景房 业主诚售,世茂外滩新城 -热河南路,4室2厅 | 174.07平米 | 南 北 | 精装 | 中楼层(共57层)  | 板塔结合,698,"40,099元/平"
东边户，全明户型，朝南完全无遮挡，采光好,新门口18号 -三牌楼,3室1厅 | 78.29平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,208,"26,568元/平"
赤壁路 29 带阁楼 西康路 宁夏路 精装修 墙暖 采光好,西康路41至45号 -水佐岗,4室2厅 | 87.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,520,"59,463元/平"
新街口上海路精装2房低总价业主诚心卖 价格好沟通,沈举人巷 -华侨路,2室1厅 | 47.86平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,175,"36,565元/平"
总价低大两房一梯一户采光刺眼天目路小区有钥匙诚意卖,天目路 -宁海路,2室1厅 | 72.16平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,360,"49,890元/平"
北京西路 上海路 金银街 自住装修两房 中间楼层,金银街17号 -宁海路,2室1厅 | 51.17平米 | 西 北 | 精装 | 中楼层(共7层)  | 板楼,150,"29,315元/平"
银城花园南片 低总价 银城汇文不占 采光好无遮挡,银城花园南片 -龙江,2室1厅 | 59.61平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,320,"53,683元/平"
独立小区 双南全明 采光佳 玄武湖畔 商圈成熟,高云岭 -湖南路,2室1厅 | 56平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,188,"33,572元/平"
此房满五不唯一，产权清晰无抵押，低楼层，采光还行。,华侨路 -华侨路,2室1厅 | 38.35平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,125,"32,595元/平"
鼓楼龙江商品房 3条地铁环伺 空间大居住舒适 有个院,正泰花苑 -龙江,2室1厅 | 102.61平米 | 南 | 简装 | 低楼层(共12层)  | 塔楼,270,"26,314元/平"
鼓楼区一楼带院子 双南户型 采光无遮挡 小市地铁,小市街 -小市,2室1厅 | 64.03平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,159,"24,833元/平"
龙江地铁口 房龄新 40万精装 地暖央空调 诚心卖房,郑和国际广场 -草场门大街,2室1厅 | 97.51平米 | 东南 东 | 精装 | 高楼层(共32层)  | 板塔结合,350,"35,894元/平"
银城花园北 东边户全明采光佳 精装修拎包入住空置,银城花园北片 -龙江,1室1厅 | 41.91平米 | 东 南 | 简装 | 高楼层(共7层)  | 板楼,152,"36,269元/平"
邮政世纪花园 双卧朝南 中间楼层 无户口 有钥匙,邮政世纪花园 -凤凰西街,2室1厅 | 73.66平米 | 北 南 | 简装 | 中楼层(共7层)  | 板楼,465,"63,128元/平"
此房满五不唯一，中间楼层户型好，南北通透，全面户型,山阴路 -宁海路,2室1厅 | 53.75平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,420,"78,140元/平"
劲顺 中间楼层采光好 房龄新 交通便利,劲顺花园 -汉中门大街,2室2厅 | 78.51平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,268,"34,136元/平"
全明户型，带电梯，看房方便，人文素质好。,东宝商厦 -凤凰西街,2室1厅 | 92.69平米 | 东 南 北 | 简装 | 高楼层(共16层)  | 板楼,399,"43,047元/平"
金陵新七村，一楼有一个小院子，生活方便,金陵新七村 -金陵小区,1室1厅 | 36.06平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,73,"20,245元/平"
力学二十九 南师大校园里 大三房 有车位 环境好,南师大西山 -宁海路,3室1厅 | 78.67平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,679,"86,310元/平"
劲顺 中间楼层采光好 房龄新 交通便利,劲顺花园 -汉中门大街,2室2厅 | 78.51平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,268,"34,136元/平"
环境优美，好停车，满五 配套完善，户型方正,宁海路 -宁海路,2室1厅 | 56.47平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,485,"85,887元/平"
力学二十九 南师大校园里 大三房 有车位 环境好,南师大西山 -宁海路,3室1厅 | 78.67平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,679,"86,310元/平"
南北通透全明户型 楼层好不临街 产权清晰,燕江园小区 -金陵小区,2室1厅 | 50.5平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,104,"20,595元/平"
低总价 采光好 看房方便有钥匙 业主诚心 位置楼层好,邮政世纪花园 -凤凰西街,2室2厅 | 75.94平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,476,"62,682元/平"
教工新村 环宇城 双卧朝南 满五年 采光好 配套成熟,教工新村(鼓楼) -凤凰西街,2室2厅 | 65.51平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,175,"26,714元/平"
正泰大厦 电梯房 近地铁 采光好 满五,正泰大厦 -龙江,2室1厅 | 56.45平米 | 东南 南 | 精装 | 中楼层(共30层)  | 塔楼,119,"21,081元/平"
29中 南东瓜市 南师大商圈 双南 中间楼层 采光不挡,南东瓜市 -宁海路,2室1厅 | 64.12平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,350,"54,586元/平"
江景园 精装修大两房全明精装修满5年有车位储藏室,江景园 -草场门大街,2室2厅 | 102.74平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,415,"40,394元/平"
琅小29 中间楼层 采光好 南北通透 业主诚心出售,玉泉路 -宁海路,2室1厅 | 50.23平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,452,"89,987元/平"
北京西路 鼓楼公园  闹中取静  云南路 上海路,北京西路 -宁海路,1室1厅 | 51.54平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,155,"30,074元/平"
此房满五不唯一，房龄新，电梯房，地铁口，房东诚心,中商万豪 -水佐岗,1室1厅 | 48.74平米 | 南 | 精装 | 中楼层(共57层)  | 板楼,90,"18,466元/平"
凤凰花园城不占用 出门就是学堂 全明双南格局,凤凰花园城金陵园 -凤凰西街,2室1厅 | 63.58平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,315,"49,544元/平"
长江新村40号 封闭式小区 有物业管理 环境好 户型方正,长江新村40号 -许府巷,2室1厅 | 56.31平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,125,"22,199元/平"
满二次新房 居家精装修 全南向采光好 中间层一线江景,恒盛金陵湾 -定淮门大街,2室1厅 | 99.82平米 | 南 北 | 精装 | 高楼层(共56层)  | 板塔结合,520,"52,094元/平"
归云堂戴家巷 满五年 中间楼层 业主诚心卖 总价低,归云堂15巷 -水佐岗,2室1厅 | 60.38平米 | 西南 | 精装 | 中楼层(共7层)  | 板楼,109,"18,053元/平"
新上 地铁口华保新寓 电梯房 长江景观 双南 诚心卖,华保新寓 -草场门大街,2室1厅 | 64.68平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,189,"29,221元/平"
虎踞北路 双南 全明 业主诚心出售 低楼层,虎踞北路 -水佐岗,2室1厅 | 56.24平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,125,"22,227元/平"
双南大两房 采光好 精装修 业主诚意出售,狮子桥 -湖南路,2室1厅 | 57.33平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,165,"28,781元/平"
龙江地铁口，银城滴总价精装两房，急急急售,银城街 -龙江,2室1厅 | 64.92平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,216,"33,272元/平"
采光充足 地铁口 通透方正 好楼层 业主诚心出售,凤凰庄 -汉中门大街,2室1厅 | 55.7平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,178,"31,957元/平"
云南路 三条巷 低总价 地铁口 精装修 中间楼层阳光足,三条巷(鼓楼) -湖南路,2室1厅 | 51.8平米 | 南 | 其他 | 7层  | 板楼,180,"34,750元/平"
新河二村 小三房 总价低 楼层好 业主诚心出售,新河二村 -定淮门大街,3室1厅 | 63.64平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,365,"57,354元/平"
华保新寓，低总价，低楼层，双南中楼层两房,华保新寓 -草场门大街,2室1厅 | 63.99平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,219,"34,225元/平"
邮政世纪花园 小区中间好楼层 三房 南北通透 看房方便,邮政世纪花园 -凤凰西街,3室2厅 | 86.02平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,510,"59,289元/平"
四平苑 三房带电梯 看中可以谈 户型方正,四平苑 -建宁路,3室2厅 | 110.73平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,350,"31,609元/平"
江景房 开发商精装修 得房率高 采光充足 视野开阔。,世茂外滩新城 -热河南路,3室2厅 | 126.94平米 | 南 北 | 精装 | 高楼层(共39层)  | 板塔结合,570,"44,904元/平"
虎踞路 芳凤29 不占用 不临街 清凉山公园 地铁口,虎踞路 -华侨路,3室1厅 | 73.64平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,428,"58,121元/平"
满五唯一。小高层带电梯，可望江景，视野效果佳。,华保新寓 -草场门大街,2室1厅 | 64.6平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,190,"29,412元/平"
不占用 小区中间位置 边户采光刺眼 楼层好,滨江瑞景家园 -凤凰西街,3室2厅 | 138.74平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,719,"51,824元/平"
满五年 中楼层 产权清晰 房龄新 银城,辰龙广场 -凤凰西街,3室2厅 | 114.92平米 | 南 北 | 简装 | 低楼层(共27层)  | 板塔结合,540,"46,990元/平"
不占用 小区中间位置 边户采光刺眼 楼层好,滨江瑞景家园 -凤凰西街,3室2厅 | 138.74平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,719,"51,824元/平"
20年次新江景房 开发商统一装修 高楼层 采光佳 ..,世茂外滩新城 -热河南路,3室2厅 | 140.07平米 | 南 | 精装 | 高楼层(共55层)  | 板塔结合,550,"39,267元/平"
新上 百合果园 电梯 精装 三房 正规小区 拎包入住,百合果园 -定淮门大街,3室1厅 | 89.77平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,482,"53,693元/平"
金基翠城 复式跃层 双地铁 环境优美 鼓楼区,金基翠城 -小市,2室1厅 | 50.27平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,218,"43,366元/平"
匡庐路 双南户型 满五年唯一 采光好 低楼层 业主诚心,匡庐路 -宁海路,3室1厅 | 66.37平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,439,"66,145元/平"
汇贤居  3房2厅2卫  好楼层 带租赁车位,汇贤居 -龙江,3室2厅 | 110.13平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,560,"50,849元/平"
鼓楼区金基翠城 精装两室两厅 拎包入住,金基翠城 -小市,2室2厅 | 104.06平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,379,"36,422元/平"
南邮房改 大学里 不临街  安静采光好 停车方便,广东路 -三牌楼,3室1厅 | 74.98平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,242,"32,276元/平"
许府巷商圈 户型方正 交通便利 配套成熟,黑龙江路26号 -许府巷,3室2厅 | 91.57平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,225,"24,572元/平"
精装大三房 小区中间位置 视野开阔 江景好,世茂外滩新城 -热河南路,3室1厅 | 141.72平米 | 南 北 | 精装 | 高楼层(共55层)  | 板塔结合,539,"38,033元/平"
低楼层，配套齐全，单室套总价低，适合老年人。,金陵新七村 -金陵小区,1室1厅 | 35.93平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,84,"23,379元/平"
市人防宿舍房改房 双南户型 满五年唯一 诚心出售,凤凰西街 -凤凰西街,2室1厅 | 55.43平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,116,"20,928元/平"
三牌楼大街 中间楼层 双南大两房 可拎包入住 看房随时,三牌楼大街 -三牌楼,2室1厅 | 67.32平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,218,"32,383元/平"
08年电梯房 精装修拎包住 满五唯一 不占用,辰龙绿苑西苑 -凤凰西街,2室1厅 | 78.87平米 | 东南 南 | 精装 | 高楼层(共18层)  | 板楼,508,"64,410元/平"
地理位置好，出行便利，看房方便,车站东巷 -湖南路,2室1厅 | 63.07平米 | 西 | 简装 | 高楼层(共7层)  | 板楼,175,"27,747元/平"
满五唯一 南北通透 户型方正 一楼带院子 采光好 边户,广州路 -华侨路,2室1厅 | 56.23平米 | 东南 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,399,"70,959元/平"
业主诚意卖房，价格可商量，精装修，拎包入住,新河二村 -定淮门大街,3室0厅 | 64.3平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,370,"57,543元/平"
2楼，总价低，不占用，内里成套，不临街,场门口小区14号 -龙江,2室1厅 | 47.7平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,276,"57,862元/平"
郑和国际广场  两房业主诚心出售,郑和国际广场 -草场门大街,2室1厅 | 70.12平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,258,"36,795元/平"
正泰大厦 电梯房 近地铁 采光好 满五,正泰大厦 -龙江,3室1厅 | 110.8平米 | 南 | 简装 | 中楼层(共30层)  | 塔楼,238,"21,481元/平"
满五唯一，双南户型，南北通透，视野好,莫愁花园海棠里 -凤凰西街,2室1厅 | 49.04平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,108,"22,023元/平"
滨江花园东园 银城物业 97年房龄,滨江花园东园 -建宁路,2室1厅 | 61.32平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,100,"16,308元/平"
龙江石头城秦淮河南艺西门精装暖气智能空调,石头城 -龙江,3室1厅 | 86.05平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,268,"31,145元/平"
金帆北苑  不临街  双南  精装修  看房随时,金帆北苑 -金陵小区,2室2厅 | 71.82平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,185,"25,759元/平"
清河新寓 居家精装修 中间楼层 满五年,清河新寓二村 -凤凰西街,2室1厅 | 60.1平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,390,"64,892元/平"
清凉门国防园29.成套户型.自如装修.不占.,场门口小区14号 -龙江,2室0厅 | 49.28平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,279,"56,616元/平"
鼓楼地铁口 二条巷 诚心卖 房型好,二条巷(鼓楼) -湖南路,2室1厅 | 63.29平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,195,"30,811元/平"
店长推荐 育才公寓 边户采光好 不占用,育才公寓西片 -凤凰西街,2室1厅 | 66.93平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,375,"56,029元/平"
云南路 双南双阳台 有客厅 全明户型 中间楼层,云南路 -湖南路,2室1厅 | 66.6平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,168,"25,226元/平"
满五唯一，双南户型，南北通透，视野好,莫愁花园海棠里 -凤凰西街,2室1厅 | 49.04平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,108,"22,023元/平"
金帆北苑  不临街  双南  精装修  看房随时,金帆北苑 -金陵小区,2室2厅 | 71.82平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,185,"25,759元/平"
龙江 银城汇文大两房 采光好  精装修,银城花园南片 -龙江,2室1厅 | 61.97平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,335,"54,059元/平"
滨江花园东园 银城物业 97年房龄,滨江花园东园 -建宁路,2室1厅 | 61.32平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,100,"16,308元/平"
中环国际 景观房 视野好 玄武湖紫金山尽收眼底,中环国际 -湖南路,1室1厅 | 64.83平米 | 东 东北 | 简装 | 中楼层(共55层)  | 塔楼,107,"16,505元/平"
全明朝南，视野开阔，满两年 精装修,恒盛金陵湾 -定淮门大街,2室2厅 | 100.15平米 | 南 | 其他 | 中楼层(共55层)  | 板塔结合,530,"52,921元/平"
