Total_Price,Unit_Price,District,Area,Furnished,Bedroom,Living_Room,Total_Floors,Detailed_Floor,Facing_South
103.6,7497,Gaochun,138.2,Not Furnished,4,2,11,3,1
243,16931,Gaochun,143.53,Other,4,2,5,3,0
116,9915,Gaochun,117,Fully Furnished,4,2,7,5,1
105,8093,Gaochun,129.75,Other,5,2,8,2,0
75.8,6261,Gaochun,121.07,Other,3,2,5,3,1
49,5561,Gaochun,88.12,Part Furnished,3,1,23,11,0
110,8722,Gaochun,126.12,Other,4,2,27,19,0
72,7536,Gaochun,95.55,Other,3,2,20,15,1
80,6477,Gaochun,123.53,Other,3,2,5,3,1
56,5696,Gaochun,98.32,Other,3,2,11,5,0
85,6934,Gaochun,122.6,Fully Furnished,3,1,27,6,0
69,7341,Gaochun,94,Fully Furnished,3,2,27,13,0
68,6551,Gaochun,103.81,Fully Furnished,2,1,4,2,1
104.5,6713,Gaochun,155.67,Other,4,2,11,8,1
99.8,7071,Gaochun,141.14,Not Furnished,4,2,4,2,0
101,6929,Gaochun,145.78,Not Furnished,4,2,20,10,1
66,5359,Gaochun,123.17,Part Furnished,3,2,5,3,1
65,6859,Gaochun,94.77,Fully Furnished,2,1,6,5,1
90,7078,Gaochun,127.17,Other,3,2,27,19,1
65,6990,Gaochun,93,Other,3,2,27,13,1
105,9610,Gaochun,109.27,Fully Furnished,3,2,6,5,0
89,7256,Gaochun,122.67,Other,3,2,27,6,1
65,5665,Gaochun,114.75,Other,3,2,6,3,1
105,8531,Gaochun,123.09,Other,3,2,7,4,1
110,8221,Gaochun,133.81,Other,3,1,6,5,0
63,6522,Gaochun,96.6,Other,3,2,10,8,1
63,6522,Gaochun,96.6,Other,3,2,10,8,1
90,6810,Gaochun,132.17,Other,4,2,6,5,0
88,8873,Gaochun,99.18,Fully Furnished,3,2,5,3,1
83,8029,Gaochun,103.38,Other,3,2,27,6,0
84,7042,Gaochun,119.3,Other,3,2,6,3,1
82,6465,Gaochun,126.84,Other,3,2,23,17,0
95,8799,Gaochun,107.97,Other,3,2,25,18,0
60.8,6179,Gaochun,98.4,Other,2,2,6,2,1
50,5968,Gaochun,83.79,Other,2,1,18,13,1
86,7160,Gaochun,120.12,Other,3,2,5,2,1
65,7390,Gaochun,87.96,Other,2,2,5,2,0
84,7397,Gaochun,113.57,Not Furnished,3,2,25,18,0
70,8100,Gaochun,86.42,Fully Furnished,2,2,11,5,0
42,5676,Gaochun,74,Not Furnished,1,1,27,6,1
72,5706,Gaochun,126.19,Not Furnished,4,2,18,4,1
58.8,6370,Gaochun,92.31,Fully Furnished,3,2,27,13,0
89,6752,Gaochun,131.82,Part Furnished,4,2,24,5,0
52,6020,Gaochun,86.38,Other,2,2,6,2,0
50,5187,Gaochun,96.41,Not Furnished,3,1,6,5,1
107,8033,Gaochun,133.21,Other,3,2,27,19,0
50,5360,Gaochun,93.29,Other,3,2,23,5,1
88,6718,Gaochun,131,Other,3,2,5,3,1
80,6516,Gaochun,122.78,Other,3,2,7,4,0
80,7487,Gaochun,106.86,Other,3,2,5,3,1
82,9319,Gaochun,88,Other,3,2,6,3,1
28,2771,Gaochun,101.07,Other,3,2,6,2,0
52,6058,Gaochun,85.84,Other,2,2,6,3,1
41.8,4840,Gaochun,86.38,Other,2,2,6,2,1
66,6494,Gaochun,101.64,Other,2,1,6,2,0
65,7407,Gaochun,87.76,Other,2,2,11,8,0
60,7600,Gaochun,78.95,Other,2,1,6,5,0
72,6904,Gaochun,104.29,Other,3,1,5,3,1
20,2131,Gaochun,93.88,Other,3,2,6,5,0
42.8,5503,Gaochun,77.78,Not Furnished,2,1,6,5,1
90,7801,Gaochun,115.38,Fully Furnished,3,2,6,2,0
55,5957,Gaochun,92.34,Fully Furnished,2,1,7,5,1
48.8,4845,Gaochun,100.74,Not Furnished,3,2,11,8,1
85,7036,Gaochun,120.81,Not Furnished,3,2,11,3,0
76,6438,Gaochun,118.05,Fully Furnished,3,2,6,2,1
66,6721,Gaochun,98.2,Other,3,1,11,3,0
86,10017,Gaochun,85.86,Other,2,2,8,4,1
100,7583,Gaochun,131.88,Other,3,2,6,3,0
238,13242,Gaochun,179.74,Other,4,2,4,2,0
288,13129,Gaochun,219.37,Other,6,2,5,2,0
70,4785,Gaochun,146.32,Other,3,2,6,5,1
56.8,5680,Gaochun,100.01,Other,2,2,6,5,0
138,17109,Gaochun,80.66,Fully Furnished,2,1,5,3,1
102,7718,Gaochun,132.17,Other,4,2,6,5,1
108,8183,Gaochun,131.99,Not Furnished,3,2,6,3,1
50,4319,Gaochun,115.79,Not Furnished,3,2,6,2,1
51,5211,Gaochun,97.87,Other,2,1,6,5,1
60,5119,Gaochun,117.23,Fully Furnished,3,2,7,5,1
85,9935,Gaochun,85.56,Fully Furnished,3,1,11,5,1
50,6093,Gaochun,82.07,Other,2,1,6,5,1
